py5_name,java_name,decorator,type,category,subcategory,implementation,comments
DILATE,DILATE,,static field,constants,,JAVA,
REPLACE,REPLACE,,static field,constants,,JAVA,
BLEND,BLEND,,static field,constants,,JAVA,
ADD,ADD,,static field,constants,,JAVA,
SUBTRACT,SUBTRACT,,static field,constants,,JAVA,
LIGHTEST,LIGHTEST,,static field,constants,,JAVA,
DARKEST,DARKEST,,static field,constants,,JAVA,
DIFFERENCE,DIFFERENCE,,static field,constants,,JAVA,
EXCLUSION,EXCLUSION,,static field,constants,,JAVA,
MULTIPLY,MULTIPLY,,static field,constants,,JAVA,
SCREEN,SCREEN,,static field,constants,,JAVA,
OVERLAY,OVERLAY,,static field,constants,,JAVA,
HARD_LIGHT,HARD_LIGHT,,static field,constants,,JAVA,
SOFT_LIGHT,SOFT_LIGHT,,static field,constants,,JAVA,
DODGE,DODGE,,static field,constants,,JAVA,
BURN,BURN,,static field,constants,,JAVA,
CHATTER,CHATTER,,static field,constants,,SKIP,
COMPLAINT,COMPLAINT,,static field,constants,,SKIP,
PROBLEM,PROBLEM,,static field,constants,,SKIP,
PROJECTION,PROJECTION,,static field,constants,,SKIP,
MODELVIEW,MODELVIEW,,static field,constants,,SKIP,
CUSTOM,CUSTOM,,static field,constants,,SKIP,
ORTHOGRAPHIC,ORTHOGRAPHIC,,static field,constants,,SKIP,
PERSPECTIVE,PERSPECTIVE,,static field,constants,,SKIP,
GROUP,GROUP,,static field,constants,,JAVA,
POINT,POINT,,static field,constants,,JAVA,
POINTS,POINTS,,static field,constants,,JAVA,
LINE,LINE,,static field,constants,,JAVA,
LINES,LINES,,static field,constants,,JAVA,
LINE_STRIP,LINE_STRIP,,static field,constants,,JAVA,
LINE_LOOP,LINE_LOOP,,static field,constants,,JAVA,
TRIANGLE,TRIANGLE,,static field,constants,,JAVA,
TRIANGLES,TRIANGLES,,static field,constants,,JAVA,
TRIANGLE_STRIP,TRIANGLE_STRIP,,static field,constants,,JAVA,
TRIANGLE_FAN,TRIANGLE_FAN,,static field,constants,,JAVA,
QUAD,QUAD,,static field,constants,,JAVA,
QUADS,QUADS,,static field,constants,,JAVA,
QUAD_STRIP,QUAD_STRIP,,static field,constants,,JAVA,
POLYGON,POLYGON,,static field,constants,,JAVA,
PATH,PATH,,static field,constants,,JAVA,
RECT,RECT,,static field,constants,,JAVA,
ELLIPSE,ELLIPSE,,static field,constants,,JAVA,
ARC,ARC,,static field,constants,,JAVA,
SPHERE,SPHERE,,static field,constants,,JAVA,
BOX,BOX,,static field,constants,,JAVA,
OPEN,OPEN,,static field,constants,,JAVA,
CLOSE,CLOSE,,static field,constants,,JAVA,
CORNER,CORNER,,static field,constants,,JAVA,
CORNERS,CORNERS,,static field,constants,,JAVA,
RADIUS,RADIUS,,static field,constants,,JAVA,
CENTER,CENTER,,static field,constants,,JAVA,
DIAMETER,DIAMETER,,static field,constants,,JAVA,
CHORD,CHORD,,static field,constants,,JAVA,
PIE,PIE,,static field,constants,,JAVA,
BASELINE,BASELINE,,static field,constants,,JAVA,
TOP,TOP,,static field,constants,,JAVA,
BOTTOM,BOTTOM,,static field,constants,,JAVA,
NORMAL,NORMAL,,static field,constants,,JAVA,
IMAGE,IMAGE,,static field,constants,,JAVA,
CLAMP,CLAMP,,static field,constants,,JAVA,
REPEAT,REPEAT,,static field,constants,,JAVA,
MODEL,MODEL,,static field,constants,,JAVA,
SHAPE,SHAPE,,static field,constants,,JAVA,
SQUARE,SQUARE,,static field,constants,,JAVA,
ROUND,ROUND,,static field,constants,,JAVA,
PROJECT,PROJECT,,static field,constants,,JAVA,
MITER,MITER,,static field,constants,,JAVA,
BEVEL,BEVEL,,static field,constants,,JAVA,
AMBIENT,AMBIENT,,static field,constants,,JAVA,
DIRECTIONAL,DIRECTIONAL,,static field,constants,,JAVA,
SPOT,SPOT,,static field,constants,,JAVA,
BACKSPACE,BACKSPACE,,static field,constants,,JAVA,
TAB,TAB,,static field,constants,,JAVA,
ENTER,ENTER,,static field,constants,,JAVA,
RETURN,RETURN,,static field,constants,,JAVA,
ESC,ESC,,static field,constants,,JAVA,
DELETE,DELETE,,static field,constants,,JAVA,
CODED,CODED,,static field,constants,,JAVA,
UP,UP,,static field,constants,,JAVA,
DOWN,DOWN,,static field,constants,,JAVA,
LEFT,LEFT,,static field,constants,,JAVA,
RIGHT,RIGHT,,static field,constants,,JAVA,
ALT,ALT,,static field,constants,,JAVA,
CONTROL,CONTROL,,static field,constants,,JAVA,
SHIFT,SHIFT,,static field,constants,,JAVA,
PORTRAIT,PORTRAIT,,static field,constants,,SKIP,
LANDSCAPE,LANDSCAPE,,static field,constants,,SKIP,
SPAN,SPAN,,static field,constants,,JAVA,
ARROW,ARROW,,static field,constants,,JAVA,
CROSS,CROSS,,static field,constants,,JAVA,
HAND,HAND,,static field,constants,,JAVA,
MOVE,MOVE,,static field,constants,,JAVA,
TEXT,TEXT,,static field,constants,,JAVA,
WAIT,WAIT,,static field,constants,,JAVA,
ENABLE_NATIVE_FONTS,ENABLE_NATIVE_FONTS,,static field,constants,,JAVA,
DISABLE_NATIVE_FONTS,DISABLE_NATIVE_FONTS,,static field,constants,,JAVA,
DISABLE_DEPTH_TEST,DISABLE_DEPTH_TEST,,static field,constants,,JAVA,
ENABLE_DEPTH_TEST,ENABLE_DEPTH_TEST,,static field,constants,,JAVA,
ENABLE_DEPTH_SORT,ENABLE_DEPTH_SORT,,static field,constants,,JAVA,
DISABLE_DEPTH_SORT,DISABLE_DEPTH_SORT,,static field,constants,,JAVA,
DISABLE_OPENGL_ERRORS,DISABLE_OPENGL_ERRORS,,static field,constants,,JAVA,
ENABLE_OPENGL_ERRORS,ENABLE_OPENGL_ERRORS,,static field,constants,,JAVA,
DISABLE_DEPTH_MASK,DISABLE_DEPTH_MASK,,static field,constants,,JAVA,
ENABLE_DEPTH_MASK,ENABLE_DEPTH_MASK,,static field,constants,,JAVA,
DISABLE_OPTIMIZED_STROKE,DISABLE_OPTIMIZED_STROKE,,static field,constants,,JAVA,
ENABLE_OPTIMIZED_STROKE,ENABLE_OPTIMIZED_STROKE,,static field,constants,,JAVA,
ENABLE_STROKE_PERSPECTIVE,ENABLE_STROKE_PERSPECTIVE,,static field,constants,,JAVA,
DISABLE_STROKE_PERSPECTIVE,DISABLE_STROKE_PERSPECTIVE,,static field,constants,,JAVA,
DISABLE_TEXTURE_MIPMAPS,DISABLE_TEXTURE_MIPMAPS,,static field,constants,,JAVA,
ENABLE_TEXTURE_MIPMAPS,ENABLE_TEXTURE_MIPMAPS,,static field,constants,,JAVA,
ENABLE_STROKE_PURE,ENABLE_STROKE_PURE,,static field,constants,,JAVA,
DISABLE_STROKE_PURE,DISABLE_STROKE_PURE,,static field,constants,,JAVA,
ENABLE_BUFFER_READING,ENABLE_BUFFER_READING,,static field,constants,,JAVA,
DISABLE_BUFFER_READING,DISABLE_BUFFER_READING,,static field,constants,,JAVA,
DISABLE_KEY_REPEAT,DISABLE_KEY_REPEAT,,static field,constants,,JAVA,
ENABLE_KEY_REPEAT,ENABLE_KEY_REPEAT,,static field,constants,,JAVA,
DISABLE_ASYNC_SAVEFRAME,DISABLE_ASYNC_SAVEFRAME,,static field,constants,,JAVA,
ENABLE_ASYNC_SAVEFRAME,ENABLE_ASYNC_SAVEFRAME,,static field,constants,,JAVA,
HINT_COUNT,HINT_COUNT,,static field,constants,,SKIP,
java_version_name,javaVersionName,,dynamic variable,constants,,JAVA,
java_platform,javaPlatform,,dynamic variable,constants,,JAVA,
java_version,javaVersion,,dynamic variable,constants,,SKIP,
platform,platform,,static field,constants,,SKIP,"use ""import sys; sys.platform"" instead"
useNativeSelect,useNativeSelect,,static field,constants,,SKIP,
g,g,@_return_py5graphics;@_deprecated_g,dynamic variable,rendering,,SKIP,
display_width,displayWidth,,dynamic variable,environment,,JAVA,
display_height,displayHeight,,dynamic variable,environment,,JAVA,
recorder,recorder,,dynamic variable,,,SKIP,
pargs,args,@_return_list_str,dynamic variable,structure,,JAVA,
DEFAULT_WIDTH,DEFAULT_WIDTH,,static field,,,SKIP,
DEFAULT_HEIGHT,DEFAULT_HEIGHT,,static field,,,SKIP,
pixels,pixels,,dynamic variable,image,pixels,SKIP,
width,width,,dynamic variable,environment,,JAVA,
height,height,,dynamic variable,environment,,JAVA,
pixel_width,pixelWidth,,dynamic variable,environment,,JAVA,
pixel_height,pixelHeight,,dynamic variable,environment,,JAVA,
mouse_x,mouseX,,dynamic variable,input,mouse,JAVA,
mouse_y,mouseY,,dynamic variable,input,mouse,JAVA,
pmouse_x,pmouseX,,dynamic variable,input,mouse,JAVA,
pmouse_y,pmouseY,,dynamic variable,input,mouse,JAVA,
first_mouse,firstMouse,,dynamic variable,,,SKIP,deprecated
mouse_button,mouseButton,,dynamic variable,input,mouse,JAVA,
mouse_pressed,mousePressed,,method,input,mouse,SKIP,method implemented by user; boolean variable replaced with method is_mouse_pressed
mouse_event,mouseEvent,,dynamic variable,,,SKIP,deprecated
key,key,@_convert_jchar_to_chr,dynamic variable,input,keyboard,JAVA,
key_code,keyCode,@_convert_jint_to_int,dynamic variable,input,keyboard,JAVA,
key_pressed,keyPressed,,method,input,keyboard,SKIP,method implemented by user; boolean variable replaced with is_key_pressed
key_event,keyEvent,,dynamic variable,,,SKIP,deprecated
focused,focused,,dynamic variable,environment,,JAVA,
frame_rate,frameRate,,method,environment,,JAVA,
frame_count,frameCount,,dynamic variable,environment,,JAVA,
finished,finished,,dynamic variable,structure,,JAVA,
ARGS_EDITOR_LOCATION,ARGS_EDITOR_LOCATION,,static field,constants,,JAVA,
ARGS_EXTERNAL,ARGS_EXTERNAL,,static field,constants,,JAVA,
ARGS_LOCATION,ARGS_LOCATION,,static field,constants,,JAVA,
ARGS_DISPLAY,ARGS_DISPLAY,,static field,constants,,JAVA,
ARGS_DISABLE_AWT,ARGS_DISABLE_AWT,,static field,constants,,JAVA,
ARGS_BGCOLOR,ARGS_BGCOLOR,,static field,constants,,JAVA,
ARGS_FULL_SCREEN,ARGS_FULL_SCREEN,,static field,constants,,JAVA,
ARGS_WINDOW_COLOR,ARGS_WINDOW_COLOR,,static field,constants,,JAVA,
ARGS_PRESENT,ARGS_PRESENT,,static field,constants,,JAVA,
ARGS_STOP_COLOR,ARGS_STOP_COLOR,,static field,constants,,JAVA,
ARGS_HIDE_STOP,ARGS_HIDE_STOP,,static field,constants,,JAVA,
ARGS_SKETCH_FOLDER,ARGS_SKETCH_FOLDER,,static field,constants,,JAVA,
ARGS_UI_SCALE,ARGS_UI_SCALE,,static field,constants,,JAVA,
EXTERNAL_STOP,EXTERNAL_STOP,,static field,constants,,JAVA,
EXTERNAL_MOVE,EXTERNAL_MOVE,,static field,constants,,JAVA,
pixel_density,pixelDensity,@_settings_only('pixel_density'),method,environment,,JAVA,
wait,wait,,method,,,SKIP,public methods that shouldn't be available to users
equals,equals,,method,,,SKIP,user should use python instead
to_string,toString,,method,,,SKIP,public methods that shouldn't be available to users
hash_code,hashCode,,method,,,SKIP,public methods that shouldn't be available to users
get_class,getClass,,method,,,SKIP,public methods that shouldn't be available to users
notify,notify,,method,,,SKIP,public methods that shouldn't be available to users
notify_all,notifyAll,,method,,,SKIP,public methods that shouldn't be available to users
text,text,@_text_fix_str,method,typography,loading_displaying,JAVA,
println,println,,method,output,text_area,PYTHON,override to provide special print tools for managing print output from a running sketch
set_println_stream,,,method,output,text_area,PYTHON,special print tools for managing print output from a running sketch
main,main,,method,,,SKIP,public methods that shouldn't be available to users
exit_sketch,exit,,method,structure,,JAVA,renamed because of conflict with builtin python function
allow_system_exit,allowSystemExit,,method,,,SKIP,allow exitActual to call System.exit()
intercept_escape,interceptEscape,,method,structure,,JAVA,
get_pixels,get,@_return_py5image,method,image,pixels,JAVA,
method,method,,method,,,SKIP,
append,append,,method,data,array_functions,SKIP,user should use python instead
abs,abs,,method,math,calculation,SKIP,user should use numpy instead
sin,sin,,static method,math,trigonometry,PYTHON,implemented in mixin file math.py
cos,cos,,static method,math,trigonometry,PYTHON,implemented in mixin file math.py
tan,tan,,static method,math,trigonometry,PYTHON,implemented in mixin file math.py
atan2,atan2,,static method,math,trigonometry,PYTHON,implemented in mixin file math.py
sqrt,sqrt,,static method,math,calculation,PYTHON,implemented in mixin file math.py
log,log,,static method,math,calculation,PYTHON,implemented in mixin file math.py
pow,pow,,static method,math,calculation,SKIP,user should use builtin or numpy instead
exp,exp,,static method,math,calculation,PYTHON,implemented in mixin file math.py
min,min,,method,math,calculation,SKIP,user should use numpy instead
max,max,,method,math,calculation,SKIP,user should use numpy instead
arraycopy,arraycopy,,method,,,SKIP,user should use python instead
clear,clear,,method,color,setting,JAVA,"part of py5graphics, added to sketch to be consistent with python processing. not a documented part of processing"
str,str,,method,,,SKIP,conflict with builtin python function
concat,concat,,method,data,array_functions,SKIP,user should use python instead
split,split,,method,data,string_functions,SKIP,user should use python instead
join,join,,method,data,string_functions,SKIP,user should use python instead
trim,trim,,method,data,string_functions,SKIP,user should use python instead
size,size,@_settings_only('size');@_macos_safety_check,method,environment,,JAVA,
fill,fill,@_convert_hex_color(),method,color,setting,JAVA,
apply_filter,filter,,method,image,pixels,JAVA,filter method has name conflict with python builtin function; replaced with apply_filter method
second,second,,static method,input,time_date,JAVA,
match,match,,static method,data,string_functions,SKIP,user should use python instead
set_pixels,set,@_auto_convert_to_py5image(2),method,image,pixels,JAVA,
remap,map,,static method,math,calculation,PYTHON,renamed to remap to avoid conflict with builtin function; implemented in python for performance
setup,setup,,method,structure,,SKIP,method implemented by user
debug,debug,,static method,,,SKIP,user should use python instead
start,start,,method,structure,,SKIP,
millis,millis,,method,input,time_date,JAVA,
stop,stop,,method,structure,,SKIP,
resume,resume,,method,structure,,SKIP,
delay,delay,,method,environment,,SKIP,user should use python instead
print,print,,method,output,text_area,SKIP,conflict with builtin python function
save,save,,method,output,image,PYTHON,implemented in pixels.py mixin
flush,flush,,method,rendering,,JAVA,
copy,copy,@_auto_convert_to_py5image(0);@_return_py5image,method,image,pixels,JAVA,
mask,mask,,method,pimage,method,SKIP,why is this method in PApplet? It is not documented and cannot actually work correctly
nf,nf,,method,data,string_functions,SKIP,user should use python instead
expand,expand,,method,data,array_functions,SKIP,user should use python instead
box,box,,method,shape,3d_primitives,JAVA,
loop,loop,,method,structure,,JAVA,
reverse,reverse,,method,data,array_functions,SKIP,user should use python instead
line,line,,method,shape,2d_primitives,JAVA,
thread,thread,,method,structure,,SKIP,use launch_thread insead
parse_boolean,parseBoolean,,method,,,SKIP,methods that are not part of the processing framework
parse_int,parseInt,,method,,,SKIP,methods that are not part of the processing framework
parse_float,parseFloat,,method,,,SKIP,methods that are not part of the processing framework
parse_byte,parseByte,,method,,,SKIP,methods that are not part of the processing framework
mag,mag,,static method,math,calculation,PYTHON,implemented in mixin file math.py
scale,scale,,method,transform,,JAVA,
exec,exec,,method,,,SKIP,conflict with builtin python function
sort,sort,,method,data,array_functions,SKIP,conflict with builtin python function
rotate,rotate,,method,transform,,JAVA,
asin,asin,,static method,math,trigonometry,PYTHON,implemented in mixin file math.py
acos,acos,,static method,math,trigonometry,PYTHON,implemented in mixin file math.py
atan,atan,,static method,math,trigonometry,PYTHON,implemented in mixin file math.py
ceil,ceil,,static method,math,calculation,PYTHON,implementation in mixin file math.py makes call to numpy
floor,floor,,static method,math,calculation,PYTHON,implementation in mixin file math.py makes call to numpy
round,round,,static method,math,calculation,SKIP,user should use numpy or builtin method instead
random,random,,method,math,random,PYTHON,implementation uses numpy for performance reasons
settings,settings,,method,environment,,SKIP,method implemented by user
draw,draw,,method,structure,,SKIP,method implemented by user
pre_draw,preDraw,,method,structure,,SKIP,method implemented by user
post_draw,postDraw,,method,structure,,SKIP,method implemented by user
mouse_released,mouseReleased,,method,input,mouse,SKIP,method implemented by user
mouse_clicked,mouseClicked,,method,input,mouse,SKIP,method implemented by user
mouse_dragged,mouseDragged,,method,input,mouse,SKIP,method implemented by user
mouse_moved,mouseMoved,,method,input,mouse,SKIP,method implemented by user
mouse_entered,mouseEntered,,method,input,mouse,SKIP,method implemented by user
mouse_exited,mouseExited,,method,input,mouse,SKIP,method implemented by user
mouse_wheel,mouseWheel,,method,input,mouse,SKIP,method implemented by user
key_released,keyReleased,,method,input,keyboard,SKIP,method implemented by user
key_typed,keyTyped,,method,input,keyboard,SKIP,method implemented by user
movie_event,movieEvent,,method,,,SKIP,method implemented by user
exit_actual,exitActual,,method,structure,,SKIP,replaced with exiting()
no_loop,noLoop,,method,structure,,JAVA,
load_pixels,loadPixels,,method,image,pixels,JAVA,
update_pixels,updatePixels,,method,image,pixels,JAVA,
sketch_path,sketchPath,,method,environment,,PYTHON,
redraw,redraw,,method,structure,,JAVA,
exit_called,exitCalled,,method,,,SKIP,methods that are not part of the processing framework
smooth,smooth,@_settings_only('smooth'),method,environment,,JAVA,
full_screen,fullScreen,@_settings_only('full_screen'),method,environment,,JAVA,
get_surface,getSurface,@_return_py5surface,method,environment,,JAVA,
surface,surface,,unknown,,,SKIP,use get_surface
sketch_width,sketchWidth,,method,,,SKIP,methods that are not part of the processing framework
sketch_height,sketchHeight,,method,,,SKIP,methods that are not part of the processing framework
sketch_renderer,sketchRenderer,,method,,,SKIP,methods that are not part of the processing framework
sketch_smooth,sketchSmooth,,method,,,SKIP,methods that are not part of the processing framework
sketch_full_screen,sketchFullScreen,,method,,,SKIP,methods that are not part of the processing framework
sketch_display,sketchDisplay,,method,,,SKIP,methods that are not part of the processing framework
sketch_output_path,sketchOutputPath,,method,,,SKIP,methods that are not part of the processing framework
sketch_output_stream,sketchOutputStream,,method,,,SKIP,methods that are not part of the processing framework
sketch_window_color,sketchWindowColor,,method,,,SKIP,methods that are not part of the processing framework
sketch_pixel_density,sketchPixelDensity,,method,,,SKIP,methods that are not part of the processing framework
display_density,displayDensity,,method,environment,,JAVA,
no_smooth,noSmooth,@_settings_only('no_smooth'),method,environment,,JAVA,
get_graphics,getGraphics,@_return_py5graphics,method,rendering,,JAVA,
graphics,graphics,,unknown,,,SKIP,use get_graphics
orientation,orientation,,method,,,SKIP,methods that are not part of the processing framework
pause,pause,,method,structure,,SKIP,
register_method,registerMethod,,method,,,SKIP,public methods that shouldn't be available to users
unregister_method,unregisterMethod,,method,,,SKIP,public methods that shouldn't be available to users
create_graphics,createGraphics,@_return_py5graphics,method,rendering,,JAVA,this needs to be reimplemented but I haven't decided what to do with it yet
create_image,createImage,@_return_py5image,method,image,,JAVA,
image,image,@_auto_convert_to_py5image(0),method,image,loading_displaying,JAVA,
handle_draw,handleDraw,,method,,,SKIP,public methods that shouldn't be available to users
alpha,alpha,@_convert_hex_color(),method,color,creating_reading,JAVA,
is_looping,isLooping,,method,,,SKIP,methods that are not part of the processing framework
looping,looping,,unknown,,,SKIP,methods that are not part of the processing framework
post_event,postEvent,,method,,,SKIP,public methods that shouldn't be available to users
focus_gained,focusGained,,method,,,SKIP,methods that are not part of the processing framework
focus_lost,focusLost,,method,,,SKIP,methods that are not part of the processing framework
launch,launch,,static method,input,files,SKIP,methods that should be re-implemented by me in Python
shell,shell,,static method,,,SKIP,methods that should be re-implemented by me in Python
die,die,,method,,,SKIP,public methods that shouldn't be available to users
dispose,dispose,,method,,,SKIP,public methods that shouldn't be available to users
save_frame,saveFrame,,method,output,image,PYTHON,"implemented in sketch.py, uses Pillow to save the frame"
insert_frame,insertFrame,,method,,,SKIP,"not intended to be public, but there is the _insert_frame method that also lets you specify the number instead of frame_count"
no_cursor,noCursor,,method,environment,,JAVA,
print_array,printArray,,static method,output,text_area,SKIP,user should use python instead
sq,sq,,static method,math,calculation,PYTHON,implemented in mixin file math.py
constrain,constrain,,static method,math,calculation,PYTHON,implemented in mixin file math.py
degrees,degrees,,static method,math,trigonometry,PYTHON,implemented in mixin file math.py
radians,radians,,static method,math,trigonometry,PYTHON,implemented in mixin file math.py
dist,dist,,static method,math,calculation,PYTHON,implemented in mixin file math.py
lerp,lerp,,static method,math,calculation,PYTHON,implemented in mixin file math.py
norm,norm,,static method,math,calculation,PYTHON,implemented in mixin file math.py
random_gaussian,randomGaussian,,method,math,random,PYTHON,implementation uses numpy for performance reasons
random_int,,,method,math,random,PYTHON,implementation uses numpy for performance reasons
random_choice,,,method,math,random,PYTHON,implementation uses numpy for performance reasons
random_sample,,,method,math,random,PYTHON,implementation uses numpy for performance reasons
random_seed,randomSeed,,method,math,random,PYTHON,implementation uses numpy for performance reasons
choice,choice,,method,math,random,SKIP,new method but functionality already provided by random_int
np_random,,,dynamic variable,math,random,PYTHON,make numpy random number generator available to users
noise_array,noiseArray,,method,math,random,SKIP,vectorized noise for better performance
noise,noise,,method,math,random,PYTHON,calls java but uses noiseArray when appropriate to support vectorization and better performance
noise_detail,noiseDetail,,method,math,random,JAVA,
noise_seed,noiseSeed,,method,math,random,JAVA,
os_noise,osNoise,,method,math,random,PYTHON,calls Java OpenSimplex2S
os_noise_array,osNoiseArray,,method,math,random,SKIP,vectorized noise for better performance
os_noise_seed,osNoiseSeed,,method,math,random,JAVA,
load_image,loadImage,,method,image,loading_displaying,PYTHON,
request_image,requestImage,,method,image,loading_displaying,PYTHON,
convert_image,,,method,image,loading_displaying,PYTHON,
convert_cached_image,,,method,image,loading_displaying,PYTHON,
create_image_from_numpy,,,method,image,loading_displaying,PYTHON,
load_xml,loadXML,,method,input,files,SKIP,methods that should be re-implemented by me in Python
parse_xml,parseXML,,method,input,files,SKIP,methods that should be re-implemented by me in Python
save_xml,saveXML,,method,output,files,SKIP,methods that should be re-implemented by me in Python
parse_json_object,parseJSONObject,,method,input,files,SKIP,"use load_json, save_json, parse_json"
load_json_object,loadJSONObject,,method,input,files,SKIP,"use load_json, save_json, parse_json"
save_json_object,saveJSONObject,,method,output,files,SKIP,"use load_json, save_json, parse_json"
parse_json_array,parseJSONArray,,method,input,files,SKIP,"use load_json, save_json, parse_json"
load_json_array,loadJSONArray,,method,input,files,SKIP,"use load_json, save_json, parse_json"
save_json_array,saveJSONArray,,method,output,files,SKIP,"use load_json, save_json, parse_json"
load_table,loadTable,,method,input,files,SKIP,methods that should be re-implemented by me in Python
save_table,saveTable,,method,output,files,SKIP,methods that should be re-implemented by me in Python
load_font,loadFont,@_load_py5font,method,typography,loading_displaying,JAVA,
create_font,createFont,@_load_py5font,method,typography,loading_displaying,JAVA,
select_input,selectInput,,method,input,files,PYTHON,implemented in Python because of the callback
select_output,selectOutput,,method,output,files,PYTHON,implemented in Python because of the callback
select_folder,selectFolder,,method,input,files,PYTHON,implemented in Python because of the callback
py5_select_folder,py5SelectFolder,,method,,,SKIP,used by select_folder
py5_select_input,py5SelectInput,,method,,,SKIP,used by select_input
py5_select_output,py5SelectOutput,,method,,,SKIP,used by select_output
select_callback,selectCallback,,static method,,,SKIP,
list_paths,listPaths,,method,,,SKIP,user should use python instead
check_extension,checkExtension,,static method,,,SKIP,user should use python instead
create_reader,createReader,,method,input,files,SKIP,user should use python instead
create_writer,createWriter,,method,output,files,SKIP,user should use python instead
create_input,createInput,,method,input,files,SKIP,user should use python instead
create_input_raw,createInputRaw,,method,,,SKIP,user should use python instead
load_bytes,loadBytes,,method,input,files,PYTHON,
load_strings,loadStrings,,method,input,files,PYTHON,
load_pickle,loadPickle,,method,input,files,PYTHON,
create_output,createOutput,,method,output,files,SKIP,user should use python instead
save_stream,saveStream,,method,output,files,SKIP,user should use python instead
save_bytes,saveBytes,,method,output,files,PYTHON,
save_strings,saveStrings,,method,output,files,PYTHON,
save_pickle,savePickle,,method,output,files,PYTHON,
sketch_file,sketchFile,,method,,,SKIP,user should use python instead
save_path,savePath,,method,,,SKIP,user should use python instead
save_file,saveFile,,method,,,SKIP,user should use python instead
desktop_file,desktopFile,,static method,,,SKIP,user should use python instead
desktop_path,desktopPath,,static method,,,SKIP,user should use python instead
data_path,dataPath,,method,,,SKIP,user should use python instead
data_file,dataFile,,method,,,SKIP,user should use python instead
create_path,createPath,,method,,,SKIP,user should use python instead
url_encode,urlEncode,,static method,,,SKIP,user should use python instead
url_decode,urlDecode,,static method,,,SKIP,user should use python instead
array_copy,arrayCopy,,method,data,array_functions,SKIP,user should use python instead
shorten,shorten,,method,data,array_functions,SKIP,user should use python instead
splice,splice,,method,data,array_functions,SKIP,user should use python instead
subset,subset,,method,data,array_functions,SKIP,user should use python instead
split_tokens,splitTokens,,method,data,string_functions,SKIP,user should use python instead
match_all,matchAll,,static method,data,string_functions,SKIP,user should use python instead
parse_char,parseChar,,method,,,SKIP,user should use python instead
nfc,nfc,,method,data,string_functions,SKIP,user should use python instead
nfs,nfs,,method,data,string_functions,SKIP,user should use python instead
nfp,nfp,,method,data,string_functions,SKIP,user should use python instead
hex,hex,,method,data,conversion,SKIP,user should use python instead
unhex,unhex,,static method,data,conversion,SKIP,user should use python instead
binary,binary,,method,data,conversion,SKIP,user should use python instead
unbinary,unbinary,,static method,data,conversion,SKIP,user should use python instead
